time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-11T15:50:27.270Z,38.8190002,-122.8079987,3.26,0.55,md,10,95,0.004678,0.02,nc,nc73407161,2020-06-11T15:52:01.138Z,"6km NW of The Geysers, CA",earthquake,0.94,1.37,,1,automatic,nc,nc
2020-06-11T15:46:27.450Z,33.498,-116.5053333,8.88,0.46,ml,20,58,0.08101,0.17,ci,ci39474792,2020-06-11T15:49:59.565Z,"17km ESE of Anza, CA",earthquake,0.31,0.95,0.151,9,automatic,ci,ci
2020-06-11T15:46:20.900Z,38.153,-117.9718,12.7,0.9,ml,14,101.04,0.025,0.14,nn,nn00747137,2020-06-11T15:52:50.342Z,"28 km SSE of Mina, Nevada",earthquake,,1.6,,,automatic,nn,nn
2020-06-11T15:45:24.450Z,38.1447,-117.9243,7.9,0.9,ml,10,108.62,0.035,0.02,nn,nn00747135,2020-06-11T15:49:22.763Z,"31 km SSE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-06-11T15:40:26.000Z,33.4195,-116.4035,10.5,0.75,ml,31,75,0.09705,0.19,ci,ci39474784,2020-06-11T15:44:14.524Z,"18km N of Borrego Springs, CA",earthquake,0.31,0.59,0.215,17,automatic,ci,ci
2020-06-11T15:37:10.550Z,38.1508,-117.9873,7.5,0.3,ml,8,93.61,0.017,0.04,nn,nn00747134,2020-06-11T15:46:48.561Z,"28 km SSE of Mina, Nevada",earthquake,,4.8,,,automatic,nn,nn
2020-06-11T15:29:50.310Z,38.1022,-118.0385,1.1,0.3,ml,11,183.08,0.037,0.09,nn,nn00747133,2020-06-11T15:39:09.479Z,"32 km S of Mina, Nevada",earthquake,,10.9,,,automatic,nn,nn
2020-06-11T15:27:42.880Z,33.9766667,-116.8666667,18.24,0.76,ml,19,69,0.07613,0.13,ci,ci39474760,2020-06-11T15:31:23.442Z,"6km N of Banning, CA",earthquake,0.36,0.95,0.233,20,automatic,ci,ci
2020-06-11T15:24:25.280Z,33.5976667,-116.8041667,6.43,0.37,ml,22,74,0.03368,0.22,ci,ci39474744,2020-06-11T15:28:17.243Z,"13km WNW of Anza, CA",earthquake,0.41,0.73,0.177,9,automatic,ci,ci
2020-06-11T15:23:13.880Z,35.5913333,-117.616,12.24,0.65,ml,13,89,0.1239,0.16,ci,ci39474736,2020-06-11T15:26:51.419Z,"6km ESE of Ridgecrest, CA",earthquake,0.37,1.04,0.159,9,automatic,ci,ci
2020-06-11T15:16:20.940Z,19.2124996,-155.4219971,31.89,1.89,md,31,145,0.03398,0.14,hv,hv71551847,2020-06-11T15:19:55.680Z,"6 km E of P?hala, Hawaii",earthquake,0.55,0.92,0.09,6,automatic,hv,hv
2020-06-11T15:14:32.020Z,17.9251,-66.9395,6,3.17,md,17,225,0.0783,0.14,pr,pr2020163027,2020-06-11T15:42:34.533Z,"6 km SSW of Guánica, Puerto Rico",earthquake,0.59,0.31,0.14,9,reviewed,pr,pr
2020-06-11T15:06:03.205Z,69.1455,-147.7571,0,1.7,ml,,,,0.81,ak,ak0207htkd4k,2020-06-11T15:12:23.032Z,"125 km S of Prudhoe Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-06-11T15:03:23.640Z,38.136,-117.9985,0.2,0.8,ml,12,141.98,0.027,0.04,nn,nn00747129,2020-06-11T15:12:09.491Z,"29 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-06-11T15:02:43.786Z,59.7247,-153.0038,101.8,1.5,ml,,,,0.17,ak,ak0207htjldm,2020-06-11T15:09:00.661Z,"62 km E of Pedro Bay, Alaska",earthquake,,1.5,,,automatic,ak,ak
2020-06-11T14:58:51.830Z,68.4607,-148.1967,17.5,1.1,ml,,,,1.02,ak,ak0207hta6hr,2020-06-11T15:02:08.505Z,"115 km WNW of Arctic Village, Alaska",earthquake,,0.4,,,automatic,ak,ak
